Column2;Column3;Column4;Column5
5.43;4.18;4.43;1.56
5.44;4.16;4.36;1.56
5.49;4.16;4.39;1.56
5.32;4.21;4.35;1.45
5.41;4.14;4.23;1.56
5.36;4.19;4.59;1.82
5.34;4.08;4.38;1.78
5.36;4.12;4.11;1.78
5.33;4.04;4.13;1.82
5.40;4.06;4.09;1.78
5.41;4.16;4.06;1.78
5.38;4.17;4.17;1.78
5.31;4.13;4.31;1.74
5.40;4.13;4.29;1.78
5.37;4.17;4.11;1.78
5.37;4.10;4.32;1.86
5.32;4.04;4.03;1.78
5.50;4.12;4.17;1.82
5.37;4.08;4.06;1.74
5.52;4.14;4.17;1.78
5.42;4.02;4.19;1.78
5.45;4.16;4.09;1.82
5.36;4.06;4.04;1.78
5.35;4.08;4.21;1.78
5.38;4.11;4.54;1.74
5.44;4.21;4.13;1.86
5.40;4.15;4.04;1.78
5.36;4.17;4.28;1.86
5.42;4.17;4.19;1.82
5.33;4.13;4.21;1.82
5.33;4.23;4.17;1.89
5.41;4.17;4.10;1.82
5.41;4.17;4.21;1.78
5.51;4.06;4.24;1.74
